"","...1","MGG428","MGG437","MGG480","MGG502","MGG503","MGG504","MGG534","MGG600","MGG605","MGG613","MGG615","MGG622","MGG642","MGG824","MGG826","MGG830","MGG832","MGG834","MGG852","MGG873","MGG879","MGG916","MGG1003","MGG1007","MGG1114","MGG1142","MGG1145","MGG1146","MGG1150","MGG1152","MGG1236","MGG1277","MGG1337","MGG1440","MGG1761","MGG1762","MGG1788","MGG1846","MGG1850","MGG1866","MGG1900","MGG1901","MGG2504","MGG2510","MGG2539","MGG2542","MGG2552","MGG2561","MGG2564","MGG2588","MGG2614","MGG2647","MGG2649","MGG2665","MGG2674","MGG2688","MGG2739","MGG2767","MGG2864","MGG2914","MGG2928","MGG2937","MGG2939","MGG2970","MGG3090","MGG3094","MGG3095","MGG3098","MGG3154","MGG3155","MGG3164","MGG3166","MGG3261","MGG3262"
"1","Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,1.256934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Agathobacter",0,3.788708,0,1.728917,2.855366,0,0,0,3.377903,0,0,3.927251,0,0,1.34819,0,0,0,0,0,0,0,0,10.561291,14.658932,1.477385,0,4.999161,5.246853,0,3.881909,1.426893,0,0,0,6.046448,0,0,1.549596,1.723191,0,0,2.369453,0,3.299416,2.255094,7.151263,2.013853,4.730131,4.773932,1.332152,8.391679,0,0,2.449079,2.601913,7.93704,0,3.269021,4.802164,0,0,0,0,9.476929,5.327281,0,1.972072,0,0,1.340275,2.772793,10.6547,0
"3","Akkermansia",10.01508,0,4.191403,5.439646,0,0,0,0,0,0,16.898027,0,7.853325,0,0,3.691202,0,0,0,0,0,0,0,0,0,0,0,10.59699,2.334833,1.402017,0,0,5.966302,4.963328,0,0,0,0,0,2.708362,0,5.09619,0,3.753203,5.996749,1.218094,0,4.083291,0,5.571672,5.347061,0,5.328945,0,0,0,1.540459,0,1.062278,0,0,0,0,0,0,0,3.268029,0,0,0,1.883498,0,0,0
"4","Alistipes",4.153982,2.619964,0,4.569108,0,6.539296,0,1.099567,12.979303,2.226268,2.546707,4.688167,0,3.217433,0,10.215229,1.527408,0,6.025605,3.373028,0,6.19502,3.644847,0,2.250428,0,7.376315,13.24344,2.087002,5.843245,5.262268,0,0,3.224583,8.511525,2.844184,1.526352,4.595442,3.956752,3.175203,5.191567,6.158979,2.610936,6.107011,16.430851,6.41644,0,6.058663,4.72743,2.595779,3.40603,3.144603,6.645391,0,0,0,2.516227,5.209184,5.054552,3.126451,1.558675,4.241559,0,0,2.348521,4.475857,1.678667,1.957823,13.598132,1.046095,2.067806,4.871976,0,1.91749
"5","Alloprevotella",0,0,0,0,1.249223,0,0,0,1.575272,4.973382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.997803,0,0,7.233153,0,0,0,0,0,0,0,0,0,0,2.950385,0,6.501936,0,0,0,0,0,0,4.968804,4.093915,0,2.1168,2.404276,0,0,0,0,0,3.601272,0
"6","Anaerofilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.122318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Anaeroplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.464663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.287046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Anaerostipes",0,0,1.567324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.206626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.869837,0,0,0,0,0,0,0
"9","Asteroleplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.027044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.274373,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Bacteroides",8.968048,22.548639,22.355735,16.177901,3.880161,15.294519,31.768836,42.021408,30.720511,15.703717,15.342866,22.591025,0,45.341748,30.260823,54.767349,56.094077,51.854733,47.65888,20.643432,12.604529,47.368748,24.550387,27.938768,32.27301,33.222214,26.564249,22.133945,35.81817,35.746913,25.415516,5.673997,12.470579,44.783763,25.229103,12.502131,32.023464,38.7757,37.206149,16.32569,23.398951,15.536289,7.228291,17.452548,15.154434,18.704131,27.803929,21.425517,7.339673,21.919076,21.54323,17.631227,30.630631,1.149214,30.358875,12.687884,13.289701,19.699307,25.669317,38.005749,11.951,24.665715,2.357562,14.823441,17.80368,18.771315,9.29616,13.958393,15.283729,16.120697,17.679013,24.583576,11.059843,5.815417
"11","Barnesiella",0,0,0,4.739325,0,3.586066,3.637383,0,1.573468,1.981978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.203287,2.279408,1.008508,0,0,0,3.91905,0,0,1.005419,1.035412,1.647673,2.96775,0,0,1.729297,0,4.830439,1.910021,1.389602,0,4.971491,1.335843,3.747622,1.26658,0,0,0,0,5.953353,2.80466,0,1.147647,1.11574,0,0,1.581736,2.5872,0,0,0,0,0,0,0,0
"12","Bifidobacterium",0,0,0,0,2.319985,0,1.708065,0,0,0,1.983092,2.193856,12.296575,4.523696,4.212654,0,0,6.810975,0,0,1.027488,4.547574,2.580743,17.204225,0,0,0,1.611369,7.363204,6.426665,10.107612,0,5.402174,2.045397,0,1.456195,2.080029,1.876693,0,0,0,0,0,0,0,1.944376,0,2.980161,1.63434,0,5.642275,0,1.605665,0,11.909958,0,4.402856,1.182805,1.354045,4.108488,0,1.785766,0,0,11.249398,0,0,3.99259,0,2.104693,2.39277,1.133635,0,0
"13","Bilophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.897946,0,0,0,0,0,0,0,0,0,0,1.275667,0,0,0,0,0,0,0,0,0,0,1.429854,0,0,0,0,0,0,0,0,0,0,0,0,0,1.253283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Blautia",0,0,0,0,0,0,0,0,0,0,0,1.674726,1.06005,0,0,0,0,0,0,0,0,0,0,0,1.257592,1.598606,1.827289,0,0,0,1.808553,0,0,1.514289,0,0,3.223296,0,0,0,2.072239,1.362447,1.011312,0,1.204166,1.404907,0,0,0,0,0,0,1.000632,0,3.839315,0,1.96019,6.78525,1.783476,1.538228,1.107237,0,1.239018,0,1.105866,0,1.033992,0,1.644789,1.096107,0,0,1.105703,1.549487
"15","Butyricimonas",0,0,0,1.257173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.799758,2.207722,0,0,0,0,0,0,0,0,0,0,0,2.381283,0,0,1.043936,1.331244,1.400522,0,1.366442,0,0,0,0,0,0,0,0,0,1.187826,2.22732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.178898,0,0,0,2.090426,0
"16","CAG-873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.492297,0,0,0,0,0,0,2.513074
