"","...1","MGG870","MGG871","MGG910","MGG997","MGG1018","MGG1122","MGG1793","MGG1836","MGG1883","MGG2598","MGG2680","MGG2703","MGG2704","MGG3148","MGG3201"
"1","Agathobacter",0,0,0,0,4.938686,1.635576,0,3.498987,1.301009,5.373186,1.928809,3.578235,0,2.797478,1.926759
"2","Akkermansia",5.609797,0,0,3.523953,0,0,8.866117,0,0,6.821009,0,0,0,0,0
"3","Alistipes",3.139492,8.881421,4.551315,0,1.932842,0,3.25982,2.138005,0,0,5.375313,2.883017,6.0731,2.679275,3.293226
"4","Alloprevotella",0,0,0,0,0,0,2.706616,0,0,0,0,0,0,0,0
"5","Anaerostipes",0,0,0,0,0,0,0,0,1.073108,0,0,0,0,0,0
"6","Bacteroides",38.386971,47.965675,18.103684,16.392196,33.482228,11.686836,18.218608,8.549637,41.334386,30.725639,18.883826,15.331372,29.841765,29.331495,23.727755
"7","Barnesiella",1.322416,1.148584,0,0,1.190362,0,0,1.47539,0,0,2.809277,0,0,0,0
"8","Bifidobacterium",0,0,0,1.157136,3.367503,0,0,1.33953,0,0,0,0,3.74415,5.957447,0
"9","Blautia",0,0,1.363441,1.441109,0,0,0,1.024908,3.321609,1.810643,1.35325,1.430074,0,3.638035,2.112179
"10","Butyricicoccus",0,1.040566,0,0,0,0,0,0,3.161899,0,0,0,0,0,0
"11","Butyricimonas",1.685432,0,2.793296,0,0,0,1.110121,0,0,0,1.743808,0,0,0,0
"12","Catenibacterium",0,0,0,0,0,1.368705,0,0,0,0,0,0,0,0,0
"13","Christensenellaceae_R-7_group",0,1.74748,0,0,0,0,2.973936,0,0,0,0,0,0,0,0
"14","Colidextribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,1.179406,0
"15","Collinsella",0,0,1.754112,0,2.531615,1.165249,0,0,0,1.613683,1.904827,0,0,0,0
"16","Coprobacter",0,0,0,1.464587,0,0,0,0,0,0,2.333071,0,0,0,0
"17","Coprococcus",0,0,0,0,1.57238,1.265656,0,2.033131,0,0,0,0,0,0,0
"18","Desulfovibrio",0,0,0,0,0,1.112403,0,0,0,0,0,0,0,0,1.21934
"19","Dialister",0,3.472156,0,0,0,0,0,4.621618,3.725371,0,0,0,1.894361,0,0
"20","Dorea",0,0,0,0,0,0,0,1.685139,0,0,0,1.274565,0,0,0
"21","Eisenbergiella",0,0,0,0,0,0,0,0,0,0,0,0,0,1.79275,0
"22","Erysipelatoclostridium",0,0,0,0,0,0,0,0,3.176255,0,0,0,1.236907,0,0
"23","Erysipelotrichaceae_UCG-003",0,0,0,1.480239,7.342163,0,0,0,0,0,5.889205,1.21663,0,0,1.463208
"24","Escherichia/Shigella",0,0,0,0,0,26.108439,0,0,1.990094,5.61161,0,1.132777,0,1.643026,0
"25","Faecalibacterium",5.071257,12.271964,1.94554,1.072167,11.030609,4.896158,2.654637,4.576332,5.333238,2.028334,6.622358,9.024104,9.059505,21.530076,8.427555
"26","Fusicatenibacter",0,0,0,0,1.690937,0,0,0,0,0,0,1.266942,0,0,0
"27","Holdemanella",1.854973,0,5.486971,0,0,4.304286,0,0,0,0,0,0,0,0,0
"28","Lachnoclostridium",0,0,0,4.115378,0,0,0,0,4.046585,13.894264,0,1.513927,1.0809,1.30155,0
"29","Lachnospira",0,0,0,3.658114,3.392652,2.370132,0,2.107019,0,0,1.33612,2.471376,11.121016,6.987129,3.541125
"30","Lachnospiraceae_ND3007_group",0,0,0,0,1.185572,0,0,0,0,0,1.534825,0,0,0,0
